time;video
0;0
1;214,2274975272008
2;274,4119402985075
3;294,28007889546353
4;325,8391261171797
5;384,7028627838105
6;283,89620758483034
7;425,0963257199603
8;443,448
9;495,64214711729625
10;413,76190476190476
11;475,04648862512363
12;543,5873015873016
13;671,2705649157582
14;670,9534192269574
15;715,9363817097416
16;714,6534653465346
17;751,7140019860973
18;918,594274432379
19;1011,9406528189911
20;1088,1274900398407
21;1151,068656716418
22;1203,2174776564052
23;1298,5663366336635
24;1160,2857142857142
25;1192,8079207920791
26;1239,3386454183267
27;1325,5415019762845
28;1259,5450049455985
29;1506,2063492063492
30;1727,768924302789
31;1692,6336633663366
32;1927,4053518334986
33;1941,0945273631842
34;2142,5924453280318
35;2097,362549800797
36;1977,1473788328387
37;2016,7272727272727
38;1996,9114427860698
39;2031,436507936508
40;1971,7106045589692
41;1999,1031746031747
42;2041,1769383697813
43;1979,1159563924678
44;2015,7145688800792
45;1978,2485207100592
46;2023,4053518334986
47;1994,2982107355865
48;2027,4985192497531
49;1997,642857142857
50;2059,9165839126117
51;1974,344
52;1789,85501489573
53;1165,452736318408
54;1283,9324726911618
55;1399,1873767258382
56;1518,8921859545005
57;1666,9861386138614
58;1680,6977205153617
59;1822,0831683168317
60;1804,2961500493584
61;1638,629702970297
62;818,6560951437067
63;788,1504950495049
64;767,9206349206349
65;625,7547357926221
66;544,1188118811881
67;452,8444003964321
68;330,8707753479125
69;301,67028627838107
70;317,44444444444446
71;327,57312252964425
72;328,52225519287833
73;362,9220138203356
74;299,8295341922696
75;309,6325719960278
76;252,51445663010966
77;233,50943396226415
78;247,72111553784862
79;250,65612648221344

